tf.Tensor(59.718777, shape=(), dtype=float32)
tf.Tensor(59.13729, shape=(), dtype=float32)
tf.Tensor(58.529465, shape=(), dtype=float32)
tf.Tensor(63.631626, shape=(), dtype=float32)
tf.Tensor(115.48359, shape=(), dtype=float32)
tf.Tensor(57.92907, shape=(), dtype=float32)
tf.Tensor(57.001354, shape=(), dtype=float32)
tf.Tensor(56.268375, shape=(), dtype=float32)
tf.Tensor(55.718197, shape=(), dtype=float32)
tf.Tensor(87.252396, shape=(), dtype=float32)
tf.Tensor(75.24235, shape=(), dtype=float32)
tf.Tensor(54.52582, shape=(), dtype=float32)
tf.Tensor(53.48665, shape=(), dtype=float32)
tf.Tensor(53.97391, shape=(), dtype=float32)
tf.Tensor(108.78807, shape=(), dtype=float32)
tf.Tensor(53.654617, shape=(), dtype=float32)
tf.Tensor(51.439423, shape=(), dtype=float32)
tf.Tensor(50.50298, shape=(), dtype=float32)
tf.Tensor(52.70511, shape=(), dtype=float32)
tf.Tensor(108.86902, shape=(), dtype=float32)
tf.Tensor(49.600647, shape=(), dtype=float32)
tf.Tensor(48.3796, shape=(), dtype=float32)
tf.Tensor(47.34035, shape=(), dtype=float32)
tf.Tensor(51.56887, shape=(), dtype=float32)
tf.Tensor(108.657135, shape=(), dtype=float32)
tf.Tensor(46.266087, shape=(), dtype=float32)
tf.Tensor(45.17838, shape=(), dtype=float32)
tf.Tensor(44.12353, shape=(), dtype=float32)
tf.Tensor(43.049477, shape=(), dtype=float32)
tf.Tensor(125.60841, shape=(), dtype=float32)
tf.Tensor(46.148403, shape=(), dtype=float32)
tf.Tensor(42.538433, shape=(), dtype=float32)
tf.Tensor(41.48094, shape=(), dtype=float32)
tf.Tensor(40.430813, shape=(), dtype=float32)
tf.Tensor(64.69608, shape=(), dtype=float32)
tf.Tensor(70.68009, shape=(), dtype=float32)
tf.Tensor(39.074196, shape=(), dtype=float32)
tf.Tensor(38.08207, shape=(), dtype=float32)
tf.Tensor(61.982, shape=(), dtype=float32)
tf.Tensor(65.81068, shape=(), dtype=float32)
tf.Tensor(36.85447, shape=(), dtype=float32)
tf.Tensor(35.816772, shape=(), dtype=float32)
tf.Tensor(37.973343, shape=(), dtype=float32)
tf.Tensor(94.88427, shape=(), dtype=float32)
tf.Tensor(35.101826, shape=(), dtype=float32)
tf.Tensor(34.17144, shape=(), dtype=float32)
tf.Tensor(34.018726, shape=(), dtype=float32)
tf.Tensor(71.75295, shape=(), dtype=float32)
tf.Tensor(38.466328, shape=(), dtype=float32)
tf.Tensor(32.23872, shape=(), dtype=float32)
tf.Tensor(31.92795, shape=(), dtype=float32)
tf.Tensor(70.2958, shape=(), dtype=float32)
tf.Tensor(36.83703, shape=(), dtype=float32)
tf.Tensor(30.673956, shape=(), dtype=float32)
tf.Tensor(29.993843, shape=(), dtype=float32)
tf.Tensor(32.9312, shape=(), dtype=float32)
tf.Tensor(73.44912, shape=(), dtype=float32)
tf.Tensor(29.735235, shape=(), dtype=float32)
tf.Tensor(28.821278, shape=(), dtype=float32)
tf.Tensor(28.679832, shape=(), dtype=float32)
tf.Tensor(41.668716, shape=(), dtype=float32)
tf.Tensor(48.83795, shape=(), dtype=float32)
tf.Tensor(28.303225, shape=(), dtype=float32)
tf.Tensor(27.383064, shape=(), dtype=float32)
tf.Tensor(28.695639, shape=(), dtype=float32)
tf.Tensor(53.817207, shape=(), dtype=float32)
tf.Tensor(29.485825, shape=(), dtype=float32)
tf.Tensor(26.513964, shape=(), dtype=float32)
tf.Tensor(26.030352, shape=(), dtype=float32)
tf.Tensor(26.653614, shape=(), dtype=float32)
tf.Tensor(49.304188, shape=(), dtype=float32)
tf.Tensor(30.295986, shape=(), dtype=float32)
tf.Tensor(25.4227, shape=(), dtype=float32)
tf.Tensor(25.02325, shape=(), dtype=float32)
tf.Tensor(24.704527, shape=(), dtype=float32)
tf.Tensor(25.026943, shape=(), dtype=float32)
tf.Tensor(44.50592, shape=(), dtype=float32)
tf.Tensor(30.929045, shape=(), dtype=float32)
tf.Tensor(24.128119, shape=(), dtype=float32)
tf.Tensor(23.965267, shape=(), dtype=float32)
tf.Tensor(23.780767, shape=(), dtype=float32)
tf.Tensor(23.706528, shape=(), dtype=float32)
tf.Tensor(26.98061, shape=(), dtype=float32)
tf.Tensor(36.66728, shape=(), dtype=float32)
tf.Tensor(26.340906, shape=(), dtype=float32)
tf.Tensor(23.150785, shape=(), dtype=float32)
tf.Tensor(22.90399, shape=(), dtype=float32)
tf.Tensor(22.612026, shape=(), dtype=float32)
tf.Tensor(22.469479, shape=(), dtype=float32)
tf.Tensor(22.513306, shape=(), dtype=float32)
tf.Tensor(26.214691, shape=(), dtype=float32)
tf.Tensor(32.31755, shape=(), dtype=float32)
tf.Tensor(24.116167, shape=(), dtype=float32)
tf.Tensor(22.054829, shape=(), dtype=float32)
tf.Tensor(21.664312, shape=(), dtype=float32)
tf.Tensor(21.612167, shape=(), dtype=float32)
tf.Tensor(21.635384, shape=(), dtype=float32)
