tf.Tensor(136.73352, shape=(), dtype=float32)
tf.Tensor(141.56262, shape=(), dtype=float32)
tf.Tensor(146.55377, shape=(), dtype=float32)
tf.Tensor(152.27988, shape=(), dtype=float32)
tf.Tensor(157.52252, shape=(), dtype=float32)
tf.Tensor(161.14333, shape=(), dtype=float32)
tf.Tensor(165.05042, shape=(), dtype=float32)
tf.Tensor(169.78116, shape=(), dtype=float32)
tf.Tensor(175.06653, shape=(), dtype=float32)
tf.Tensor(181.14746, shape=(), dtype=float32)
tf.Tensor(187.98322, shape=(), dtype=float32)
tf.Tensor(195.83327, shape=(), dtype=float32)
tf.Tensor(204.32785, shape=(), dtype=float32)
tf.Tensor(212.50307, shape=(), dtype=float32)
tf.Tensor(217.66449, shape=(), dtype=float32)
tf.Tensor(223.59877, shape=(), dtype=float32)
tf.Tensor(230.92088, shape=(), dtype=float32)
tf.Tensor(239.32845, shape=(), dtype=float32)
tf.Tensor(249.02486, shape=(), dtype=float32)
tf.Tensor(259.75626, shape=(), dtype=float32)
tf.Tensor(271.4557, shape=(), dtype=float32)
tf.Tensor(284.6145, shape=(), dtype=float32)
tf.Tensor(292.74872, shape=(), dtype=float32)
tf.Tensor(301.48242, shape=(), dtype=float32)
tf.Tensor(312.79926, shape=(), dtype=float32)
tf.Tensor(325.60968, shape=(), dtype=float32)
tf.Tensor(341.69714, shape=(), dtype=float32)
tf.Tensor(360.14767, shape=(), dtype=float32)
tf.Tensor(376.50278, shape=(), dtype=float32)
tf.Tensor(386.92697, shape=(), dtype=float32)
tf.Tensor(400.14883, shape=(), dtype=float32)
tf.Tensor(415.83948, shape=(), dtype=float32)
tf.Tensor(435.6258, shape=(), dtype=float32)
tf.Tensor(458.44202, shape=(), dtype=float32)
tf.Tensor(477.34033, shape=(), dtype=float32)
tf.Tensor(494.43878, shape=(), dtype=float32)
tf.Tensor(515.0895, shape=(), dtype=float32)
tf.Tensor(539.42, shape=(), dtype=float32)
tf.Tensor(566.89154, shape=(), dtype=float32)
tf.Tensor(584.4834, shape=(), dtype=float32)
tf.Tensor(603.521, shape=(), dtype=float32)
tf.Tensor(628.9131, shape=(), dtype=float32)
tf.Tensor(660.33984, shape=(), dtype=float32)
tf.Tensor(694.7726, shape=(), dtype=float32)
tf.Tensor(712.5526, shape=(), dtype=float32)
tf.Tensor(735.8075, shape=(), dtype=float32)
tf.Tensor(766.80743, shape=(), dtype=float32)
tf.Tensor(804.49854, shape=(), dtype=float32)
tf.Tensor(839.94836, shape=(), dtype=float32)
tf.Tensor(854.6106, shape=(), dtype=float32)
tf.Tensor(879.011, shape=(), dtype=float32)
tf.Tensor(914.94183, shape=(), dtype=float32)
tf.Tensor(959.83673, shape=(), dtype=float32)
tf.Tensor(1010.95404, shape=(), dtype=float32)
tf.Tensor(1028.853, shape=(), dtype=float32)
tf.Tensor(1037.4312, shape=(), dtype=float32)
tf.Tensor(1062.737, shape=(), dtype=float32)
tf.Tensor(1100.5677, shape=(), dtype=float32)
tf.Tensor(1147.7695, shape=(), dtype=float32)
tf.Tensor(1182.6797, shape=(), dtype=float32)
tf.Tensor(1201.4581, shape=(), dtype=float32)
tf.Tensor(1232.8428, shape=(), dtype=float32)
tf.Tensor(1279.2284, shape=(), dtype=float32)
tf.Tensor(1312.8744, shape=(), dtype=float32)
tf.Tensor(1330.5321, shape=(), dtype=float32)
tf.Tensor(1363.3948, shape=(), dtype=float32)
tf.Tensor(1411.181, shape=(), dtype=float32)
tf.Tensor(1448.6199, shape=(), dtype=float32)
tf.Tensor(1448.5752, shape=(), dtype=float32)
tf.Tensor(1464.7429, shape=(), dtype=float32)
tf.Tensor(1501.3749, shape=(), dtype=float32)
tf.Tensor(1546.5725, shape=(), dtype=float32)
tf.Tensor(1563.7235, shape=(), dtype=float32)
tf.Tensor(1578.806, shape=(), dtype=float32)
tf.Tensor(1607.8566, shape=(), dtype=float32)
tf.Tensor(1654.202, shape=(), dtype=float32)
tf.Tensor(1664.3514, shape=(), dtype=float32)
tf.Tensor(1667.9802, shape=(), dtype=float32)
tf.Tensor(1690.5427, shape=(), dtype=float32)
tf.Tensor(1728.5154, shape=(), dtype=float32)
tf.Tensor(1755.4778, shape=(), dtype=float32)
tf.Tensor(1745.1895, shape=(), dtype=float32)
tf.Tensor(1747.6836, shape=(), dtype=float32)
tf.Tensor(1765.8319, shape=(), dtype=float32)
tf.Tensor(1792.8811, shape=(), dtype=float32)
tf.Tensor(1806.6094, shape=(), dtype=float32)
tf.Tensor(1803.279, shape=(), dtype=float32)
tf.Tensor(1809.1746, shape=(), dtype=float32)
tf.Tensor(1827.5558, shape=(), dtype=float32)
tf.Tensor(1847.4501, shape=(), dtype=float32)
tf.Tensor(1840.8027, shape=(), dtype=float32)
tf.Tensor(1837.7754, shape=(), dtype=float32)
tf.Tensor(1847.4286, shape=(), dtype=float32)
tf.Tensor(1863.7944, shape=(), dtype=float32)
tf.Tensor(1884.9021, shape=(), dtype=float32)
tf.Tensor(1869.4994, shape=(), dtype=float32)
tf.Tensor(1861.2648, shape=(), dtype=float32)
tf.Tensor(1860.7527, shape=(), dtype=float32)
tf.Tensor(1864.5419, shape=(), dtype=float32)
tf.Tensor(1875.0833, shape=(), dtype=float32)
tf.Tensor(1885.6564, shape=(), dtype=float32)
tf.Tensor(1869.5292, shape=(), dtype=float32)
tf.Tensor(1848.6566, shape=(), dtype=float32)
tf.Tensor(1842.0867, shape=(), dtype=float32)
tf.Tensor(1848.4298, shape=(), dtype=float32)
tf.Tensor(1854.902, shape=(), dtype=float32)
tf.Tensor(1858.9343, shape=(), dtype=float32)
tf.Tensor(1854.7686, shape=(), dtype=float32)
tf.Tensor(1836.4132, shape=(), dtype=float32)
tf.Tensor(1821.9696, shape=(), dtype=float32)
tf.Tensor(1810.4847, shape=(), dtype=float32)
tf.Tensor(1804.6499, shape=(), dtype=float32)
tf.Tensor(1800.7909, shape=(), dtype=float32)
tf.Tensor(1797.1736, shape=(), dtype=float32)
tf.Tensor(1795.3372, shape=(), dtype=float32)
tf.Tensor(1792.2706, shape=(), dtype=float32)
tf.Tensor(1771.9285, shape=(), dtype=float32)
tf.Tensor(1755.3684, shape=(), dtype=float32)
tf.Tensor(1740.3578, shape=(), dtype=float32)
tf.Tensor(1730.1968, shape=(), dtype=float32)
tf.Tensor(1724.1039, shape=(), dtype=float32)
tf.Tensor(1714.4655, shape=(), dtype=float32)
tf.Tensor(1706.5493, shape=(), dtype=float32)
tf.Tensor(1696.6014, shape=(), dtype=float32)
tf.Tensor(1687.7577, shape=(), dtype=float32)
tf.Tensor(1677.5411, shape=(), dtype=float32)
tf.Tensor(1667.824, shape=(), dtype=float32)
tf.Tensor(1655.295, shape=(), dtype=float32)
tf.Tensor(1644.3015, shape=(), dtype=float32)
tf.Tensor(1630.6323, shape=(), dtype=float32)
tf.Tensor(1616.7073, shape=(), dtype=float32)
tf.Tensor(1607.1538, shape=(), dtype=float32)
tf.Tensor(1596.4395, shape=(), dtype=float32)
tf.Tensor(1585.8527, shape=(), dtype=float32)
tf.Tensor(1575.2128, shape=(), dtype=float32)
tf.Tensor(1562.9583, shape=(), dtype=float32)
tf.Tensor(1551.19, shape=(), dtype=float32)
tf.Tensor(1540.9021, shape=(), dtype=float32)
tf.Tensor(1525.5325, shape=(), dtype=float32)
tf.Tensor(1511.162, shape=(), dtype=float32)
tf.Tensor(1501.1205, shape=(), dtype=float32)
tf.Tensor(1487.4154, shape=(), dtype=float32)
tf.Tensor(1477.9885, shape=(), dtype=float32)
tf.Tensor(1467.6393, shape=(), dtype=float32)
tf.Tensor(1456.9105, shape=(), dtype=float32)
tf.Tensor(1447.0835, shape=(), dtype=float32)
tf.Tensor(1434.6547, shape=(), dtype=float32)
tf.Tensor(1424.278, shape=(), dtype=float32)
tf.Tensor(1414.1709, shape=(), dtype=float32)
tf.Tensor(1401.5319, shape=(), dtype=float32)
tf.Tensor(1391.2224, shape=(), dtype=float32)
tf.Tensor(1382.613, shape=(), dtype=float32)
tf.Tensor(1370.62, shape=(), dtype=float32)
tf.Tensor(1359.7418, shape=(), dtype=float32)
tf.Tensor(1346.649, shape=(), dtype=float32)
tf.Tensor(1335.4888, shape=(), dtype=float32)
tf.Tensor(1322.0934, shape=(), dtype=float32)
tf.Tensor(1309.1246, shape=(), dtype=float32)
tf.Tensor(1296.2894, shape=(), dtype=float32)
tf.Tensor(1283.3538, shape=(), dtype=float32)
tf.Tensor(1271.173, shape=(), dtype=float32)
tf.Tensor(1258.7793, shape=(), dtype=float32)
tf.Tensor(1247.7448, shape=(), dtype=float32)
tf.Tensor(1235.0692, shape=(), dtype=float32)
tf.Tensor(1222.09, shape=(), dtype=float32)
tf.Tensor(1213.4774, shape=(), dtype=float32)
tf.Tensor(1204.2418, shape=(), dtype=float32)
tf.Tensor(1196.1448, shape=(), dtype=float32)
tf.Tensor(1185.0405, shape=(), dtype=float32)
tf.Tensor(1175.3499, shape=(), dtype=float32)
tf.Tensor(1169.1085, shape=(), dtype=float32)
tf.Tensor(1160.7124, shape=(), dtype=float32)
tf.Tensor(1151.5352, shape=(), dtype=float32)
tf.Tensor(1140.3926, shape=(), dtype=float32)
tf.Tensor(1128.3534, shape=(), dtype=float32)
tf.Tensor(1117.5437, shape=(), dtype=float32)
tf.Tensor(1108.3628, shape=(), dtype=float32)
tf.Tensor(1097.4841, shape=(), dtype=float32)
tf.Tensor(1090.0902, shape=(), dtype=float32)
tf.Tensor(1079.393, shape=(), dtype=float32)
tf.Tensor(1070.1969, shape=(), dtype=float32)
tf.Tensor(1061.2943, shape=(), dtype=float32)
tf.Tensor(1051.0941, shape=(), dtype=float32)
tf.Tensor(1040.7676, shape=(), dtype=float32)
tf.Tensor(1028.521, shape=(), dtype=float32)
tf.Tensor(1018.8935, shape=(), dtype=float32)
tf.Tensor(1009.8848, shape=(), dtype=float32)
tf.Tensor(1000.4329, shape=(), dtype=float32)
tf.Tensor(992.07684, shape=(), dtype=float32)
tf.Tensor(984.0786, shape=(), dtype=float32)
tf.Tensor(976.32275, shape=(), dtype=float32)
tf.Tensor(969.1368, shape=(), dtype=float32)
tf.Tensor(960.2521, shape=(), dtype=float32)
tf.Tensor(951.7839, shape=(), dtype=float32)
tf.Tensor(942.4478, shape=(), dtype=float32)
tf.Tensor(932.53815, shape=(), dtype=float32)
tf.Tensor(924.1294, shape=(), dtype=float32)
tf.Tensor(915.82495, shape=(), dtype=float32)
tf.Tensor(907.6631, shape=(), dtype=float32)
tf.Tensor(898.38385, shape=(), dtype=float32)
tf.Tensor(890.00305, shape=(), dtype=float32)
tf.Tensor(882.32056, shape=(), dtype=float32)
tf.Tensor(875.5945, shape=(), dtype=float32)
tf.Tensor(867.2205, shape=(), dtype=float32)
tf.Tensor(858.76886, shape=(), dtype=float32)
tf.Tensor(850.1389, shape=(), dtype=float32)
tf.Tensor(842.47205, shape=(), dtype=float32)
tf.Tensor(834.53516, shape=(), dtype=float32)
tf.Tensor(826.52234, shape=(), dtype=float32)
tf.Tensor(818.23334, shape=(), dtype=float32)
tf.Tensor(810.9005, shape=(), dtype=float32)
tf.Tensor(802.1988, shape=(), dtype=float32)
tf.Tensor(794.4923, shape=(), dtype=float32)
tf.Tensor(788.3121, shape=(), dtype=float32)
tf.Tensor(780.29877, shape=(), dtype=float32)
tf.Tensor(772.7893, shape=(), dtype=float32)
tf.Tensor(766.75885, shape=(), dtype=float32)
tf.Tensor(760.7815, shape=(), dtype=float32)
tf.Tensor(754.8741, shape=(), dtype=float32)
tf.Tensor(748.31805, shape=(), dtype=float32)
tf.Tensor(741.0186, shape=(), dtype=float32)
tf.Tensor(733.51794, shape=(), dtype=float32)
tf.Tensor(726.55066, shape=(), dtype=float32)
tf.Tensor(719.9794, shape=(), dtype=float32)
tf.Tensor(713.084, shape=(), dtype=float32)
tf.Tensor(706.4163, shape=(), dtype=float32)
tf.Tensor(699.5219, shape=(), dtype=float32)
tf.Tensor(693.0356, shape=(), dtype=float32)
tf.Tensor(686.1353, shape=(), dtype=float32)
tf.Tensor(679.6282, shape=(), dtype=float32)
tf.Tensor(674.1029, shape=(), dtype=float32)
tf.Tensor(667.86096, shape=(), dtype=float32)
tf.Tensor(662.5448, shape=(), dtype=float32)
tf.Tensor(655.9637, shape=(), dtype=float32)
tf.Tensor(650.4619, shape=(), dtype=float32)
tf.Tensor(644.7899, shape=(), dtype=float32)
tf.Tensor(639.09174, shape=(), dtype=float32)
tf.Tensor(632.5784, shape=(), dtype=float32)
tf.Tensor(627.38336, shape=(), dtype=float32)
tf.Tensor(621.7433, shape=(), dtype=float32)
tf.Tensor(615.8788, shape=(), dtype=float32)
tf.Tensor(610.57764, shape=(), dtype=float32)
tf.Tensor(605.15375, shape=(), dtype=float32)
tf.Tensor(599.319, shape=(), dtype=float32)
tf.Tensor(593.97797, shape=(), dtype=float32)
tf.Tensor(589.2901, shape=(), dtype=float32)
tf.Tensor(584.44763, shape=(), dtype=float32)
tf.Tensor(578.3274, shape=(), dtype=float32)
tf.Tensor(573.5419, shape=(), dtype=float32)
tf.Tensor(568.1497, shape=(), dtype=float32)
tf.Tensor(562.87036, shape=(), dtype=float32)
tf.Tensor(557.27466, shape=(), dtype=float32)
tf.Tensor(552.37756, shape=(), dtype=float32)
tf.Tensor(547.38086, shape=(), dtype=float32)
tf.Tensor(542.8463, shape=(), dtype=float32)
tf.Tensor(538.31006, shape=(), dtype=float32)
tf.Tensor(532.94653, shape=(), dtype=float32)
tf.Tensor(528.41736, shape=(), dtype=float32)
tf.Tensor(523.39514, shape=(), dtype=float32)
tf.Tensor(518.3112, shape=(), dtype=float32)
tf.Tensor(513.27136, shape=(), dtype=float32)
tf.Tensor(509.10556, shape=(), dtype=float32)
tf.Tensor(505.41388, shape=(), dtype=float32)
tf.Tensor(500.6186, shape=(), dtype=float32)
tf.Tensor(497.09103, shape=(), dtype=float32)
tf.Tensor(492.43863, shape=(), dtype=float32)
tf.Tensor(488.16837, shape=(), dtype=float32)
tf.Tensor(483.78387, shape=(), dtype=float32)
tf.Tensor(479.4948, shape=(), dtype=float32)
tf.Tensor(475.3779, shape=(), dtype=float32)
tf.Tensor(470.7208, shape=(), dtype=float32)
tf.Tensor(466.40448, shape=(), dtype=float32)
tf.Tensor(461.99902, shape=(), dtype=float32)
tf.Tensor(457.97974, shape=(), dtype=float32)
tf.Tensor(453.55896, shape=(), dtype=float32)
tf.Tensor(449.52576, shape=(), dtype=float32)
tf.Tensor(446.1325, shape=(), dtype=float32)
tf.Tensor(442.4546, shape=(), dtype=float32)
tf.Tensor(438.64255, shape=(), dtype=float32)
tf.Tensor(434.24384, shape=(), dtype=float32)
tf.Tensor(429.6657, shape=(), dtype=float32)
tf.Tensor(425.3887, shape=(), dtype=float32)
tf.Tensor(421.90436, shape=(), dtype=float32)
tf.Tensor(418.51727, shape=(), dtype=float32)
tf.Tensor(414.9702, shape=(), dtype=float32)
tf.Tensor(411.39835, shape=(), dtype=float32)
tf.Tensor(407.7626, shape=(), dtype=float32)
tf.Tensor(403.8977, shape=(), dtype=float32)
tf.Tensor(400.39026, shape=(), dtype=float32)
tf.Tensor(397.12585, shape=(), dtype=float32)
tf.Tensor(393.67044, shape=(), dtype=float32)
tf.Tensor(390.02905, shape=(), dtype=float32)
tf.Tensor(386.6744, shape=(), dtype=float32)
tf.Tensor(383.8318, shape=(), dtype=float32)
tf.Tensor(380.28018, shape=(), dtype=float32)
tf.Tensor(376.5808, shape=(), dtype=float32)
tf.Tensor(373.7075, shape=(), dtype=float32)
tf.Tensor(371.2542, shape=(), dtype=float32)
tf.Tensor(367.67404, shape=(), dtype=float32)
tf.Tensor(364.20392, shape=(), dtype=float32)
tf.Tensor(360.99533, shape=(), dtype=float32)
tf.Tensor(357.763, shape=(), dtype=float32)
tf.Tensor(354.75964, shape=(), dtype=float32)
tf.Tensor(352.11166, shape=(), dtype=float32)
tf.Tensor(349.263, shape=(), dtype=float32)
tf.Tensor(346.37433, shape=(), dtype=float32)
tf.Tensor(343.4786, shape=(), dtype=float32)
tf.Tensor(340.49924, shape=(), dtype=float32)
tf.Tensor(337.2717, shape=(), dtype=float32)
tf.Tensor(334.77313, shape=(), dtype=float32)
tf.Tensor(331.92267, shape=(), dtype=float32)
tf.Tensor(329.2214, shape=(), dtype=float32)
tf.Tensor(326.55307, shape=(), dtype=float32)
tf.Tensor(323.85968, shape=(), dtype=float32)
tf.Tensor(321.22314, shape=(), dtype=float32)
tf.Tensor(319.1264, shape=(), dtype=float32)
tf.Tensor(316.36206, shape=(), dtype=float32)
tf.Tensor(313.5815, shape=(), dtype=float32)
tf.Tensor(311.2246, shape=(), dtype=float32)
tf.Tensor(308.46472, shape=(), dtype=float32)
tf.Tensor(305.53748, shape=(), dtype=float32)
tf.Tensor(303.04172, shape=(), dtype=float32)
tf.Tensor(300.47186, shape=(), dtype=float32)
tf.Tensor(298.28113, shape=(), dtype=float32)
tf.Tensor(295.8157, shape=(), dtype=float32)
tf.Tensor(292.93793, shape=(), dtype=float32)
tf.Tensor(290.48865, shape=(), dtype=float32)
tf.Tensor(288.13388, shape=(), dtype=float32)
tf.Tensor(285.77716, shape=(), dtype=float32)
tf.Tensor(283.73935, shape=(), dtype=float32)
tf.Tensor(281.7368, shape=(), dtype=float32)
tf.Tensor(278.87863, shape=(), dtype=float32)
tf.Tensor(276.30145, shape=(), dtype=float32)
tf.Tensor(273.89807, shape=(), dtype=float32)
tf.Tensor(271.5234, shape=(), dtype=float32)
tf.Tensor(269.35574, shape=(), dtype=float32)
tf.Tensor(267.23862, shape=(), dtype=float32)
tf.Tensor(265.07846, shape=(), dtype=float32)
tf.Tensor(262.8977, shape=(), dtype=float32)
tf.Tensor(260.4139, shape=(), dtype=float32)
tf.Tensor(258.45395, shape=(), dtype=float32)
tf.Tensor(256.1056, shape=(), dtype=float32)
tf.Tensor(254.2651, shape=(), dtype=float32)
tf.Tensor(252.05002, shape=(), dtype=float32)
tf.Tensor(250.40578, shape=(), dtype=float32)
tf.Tensor(248.49751, shape=(), dtype=float32)
tf.Tensor(246.62872, shape=(), dtype=float32)
tf.Tensor(245.00757, shape=(), dtype=float32)
tf.Tensor(243.27309, shape=(), dtype=float32)
tf.Tensor(241.68004, shape=(), dtype=float32)
tf.Tensor(239.97774, shape=(), dtype=float32)
tf.Tensor(238.1387, shape=(), dtype=float32)
tf.Tensor(236.40576, shape=(), dtype=float32)
tf.Tensor(234.58836, shape=(), dtype=float32)
tf.Tensor(232.6486, shape=(), dtype=float32)
tf.Tensor(230.93022, shape=(), dtype=float32)
tf.Tensor(228.9813, shape=(), dtype=float32)
