tf.Tensor(12.438876, shape=(), dtype=float32)
tf.Tensor(12.43265, shape=(), dtype=float32)
tf.Tensor(12.427661, shape=(), dtype=float32)
tf.Tensor(12.393209, shape=(), dtype=float32)
tf.Tensor(12.3881, shape=(), dtype=float32)
tf.Tensor(12.375538, shape=(), dtype=float32)
tf.Tensor(12.3356695, shape=(), dtype=float32)
tf.Tensor(12.350388, shape=(), dtype=float32)
tf.Tensor(12.320152, shape=(), dtype=float32)
tf.Tensor(12.303891, shape=(), dtype=float32)
tf.Tensor(12.27468, shape=(), dtype=float32)
tf.Tensor(12.263396, shape=(), dtype=float32)
tf.Tensor(12.238009, shape=(), dtype=float32)
tf.Tensor(12.2296295, shape=(), dtype=float32)
tf.Tensor(12.203173, shape=(), dtype=float32)
tf.Tensor(12.215804, shape=(), dtype=float32)
tf.Tensor(12.192244, shape=(), dtype=float32)
tf.Tensor(12.156679, shape=(), dtype=float32)
tf.Tensor(12.146687, shape=(), dtype=float32)
tf.Tensor(12.128106, shape=(), dtype=float32)
tf.Tensor(12.128432, shape=(), dtype=float32)
tf.Tensor(12.095879, shape=(), dtype=float32)
tf.Tensor(12.118491, shape=(), dtype=float32)
tf.Tensor(12.07878, shape=(), dtype=float32)
tf.Tensor(12.041305, shape=(), dtype=float32)
tf.Tensor(12.028263, shape=(), dtype=float32)
tf.Tensor(12.016893, shape=(), dtype=float32)
tf.Tensor(12.019352, shape=(), dtype=float32)
tf.Tensor(11.995646, shape=(), dtype=float32)
tf.Tensor(11.992909, shape=(), dtype=float32)
tf.Tensor(11.972552, shape=(), dtype=float32)
tf.Tensor(11.950133, shape=(), dtype=float32)
tf.Tensor(11.929031, shape=(), dtype=float32)
tf.Tensor(11.914301, shape=(), dtype=float32)
tf.Tensor(11.923445, shape=(), dtype=float32)
tf.Tensor(11.891216, shape=(), dtype=float32)
tf.Tensor(11.891091, shape=(), dtype=float32)
tf.Tensor(11.8850355, shape=(), dtype=float32)
tf.Tensor(11.85246, shape=(), dtype=float32)
tf.Tensor(11.849658, shape=(), dtype=float32)
tf.Tensor(11.841882, shape=(), dtype=float32)
tf.Tensor(11.822556, shape=(), dtype=float32)
tf.Tensor(11.830777, shape=(), dtype=float32)
tf.Tensor(11.789859, shape=(), dtype=float32)
tf.Tensor(11.778387, shape=(), dtype=float32)
tf.Tensor(11.770365, shape=(), dtype=float32)
tf.Tensor(11.740575, shape=(), dtype=float32)
tf.Tensor(11.751939, shape=(), dtype=float32)
tf.Tensor(11.713315, shape=(), dtype=float32)
tf.Tensor(11.717141, shape=(), dtype=float32)
tf.Tensor(11.712012, shape=(), dtype=float32)
tf.Tensor(11.681107, shape=(), dtype=float32)
tf.Tensor(11.656205, shape=(), dtype=float32)
tf.Tensor(11.661444, shape=(), dtype=float32)
tf.Tensor(11.636658, shape=(), dtype=float32)
tf.Tensor(11.652311, shape=(), dtype=float32)
tf.Tensor(11.631253, shape=(), dtype=float32)
tf.Tensor(11.607783, shape=(), dtype=float32)
tf.Tensor(11.594424, shape=(), dtype=float32)
tf.Tensor(11.580296, shape=(), dtype=float32)
tf.Tensor(11.579336, shape=(), dtype=float32)
tf.Tensor(11.557374, shape=(), dtype=float32)
tf.Tensor(11.542576, shape=(), dtype=float32)
tf.Tensor(11.533603, shape=(), dtype=float32)
tf.Tensor(11.520876, shape=(), dtype=float32)
tf.Tensor(11.524036, shape=(), dtype=float32)
tf.Tensor(11.484612, shape=(), dtype=float32)
tf.Tensor(11.484925, shape=(), dtype=float32)
